Area,Production,Yield,,,,,,,,,,,,,,,,
27.49,76.37,2778,,,,,,,,,,,,,,,,
25.73,69.68,2708,,,,,,,,,,,,,,,,
26.34,72.77,2762,,,,,,,,,,,,,,,,
25.2,65.76,2610,,,,,,,,,,,,,,,,
26.59,72.16,2713,,,,,,,,,,,,,,,,
26.38,68.64,2602,,,,,,,,,,,,,,,,
26.48,69.35,2619,,,,,,,,,,,,,,,,
27.99,75.81,2708,,,,,,,,,,,,,,,,
28.04,78.57,2802,,,,,,,,,,,,,,,,
27.75,80.68,2907,,,,,,,,,,,,,,,,
28.46,80.8,2839,,,,,,,,,,,,,,,,
29.07,86.87,2988,,,,,,,,,,,,,,,,
29.86,94.88,3177,,,,,,,,,,,,,,,,
30,93.51,3117,,,,,,,,,,,,,,,,
30.47,95.85,3146,,,,,,,,,,,,,,,,
31.47,86.53,2750,,,,,,,,,,,,,,,,
30.42,92.29,3034,,,,,,,,,,,,,,,,
30.79,98.51,3200,,,,,,,,,,,,,,,,
29.58,99.7,3371,,,,,,,,,,,,,,,,
30.605,94.2575,3285.5,,,,,,,,,,,,,,,,
